Simulator,Method,Run,Runtime (s),SHD,Precision,Recall,F1-Score
"LinearGaussian(n=5, s=1000, d=0.2)",PC(pearsonr),1,7.505006313323975,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
"LinearGaussian(n=5, s=1000, d=0.2)",GES(bic),1,0.27190136909484863,0.0,1.0,1.0,1.0
"LinearGaussian(n=5, s=1000, d=0.2)",PC(pearsonr),2,0.04688620567321777,10.0,0.0,0.0,0.0
"LinearGaussian(n=5, s=1000, d=0.2)",GES(bic),2,0.25666141510009766,4.0,0.5,0.6666666666666666,0.5714285714285715
"LinearGaussian(n=5, s=1000, d=0.2)",PC(pearsonr),3,0.035736083984375,4.0,0.0,0.0,0.0
"LinearGaussian(n=5, s=1000, d=0.2)",GES(bic),3,0.2127997875213623,4.0,0.0,0.0,0.0
"LinearGaussian(n=5, s=1000, d=0.2)",PC(pearsonr),4,0.06746602058410645,0.0,1.0,1.0,1.0
"LinearGaussian(n=5, s=1000, d=0.2)",GES(bic),4,0.34447622299194336,12.0,0.14285714285714285,0.25,0.18181818181818182
"LinearGaussian(n=5, s=1000, d=0.2)",PC(pearsonr),5,0.035744667053222656,4.0,0.0,0.0,0.0
"LinearGaussian(n=5, s=1000, d=0.2)",GES(bic),5,0.3137357234954834,0.0,1.0,1.0,1.0
"LinearGaussian(n=10, s=1000, d=0.2)",PC(pearsonr),1,0.38848376274108887,14.0,0.6666666666666666,0.42857142857142855,0.5217391304347826
"LinearGaussian(n=10, s=1000, d=0.2)",GES(bic),1,2.3029913902282715,23.0,0.4090909090909091,0.6428571428571429,0.5000000000000001
"LinearGaussian(n=10, s=1000, d=0.2)",PC(pearsonr),2,0.15941810607910156,14.0,0.42857142857142855,0.3333333333333333,0.375
"LinearGaussian(n=10, s=1000, d=0.2)",GES(bic),2,1.424173355102539,18.0,0.3333333333333333,0.4444444444444444,0.380952380952381
"LinearGaussian(n=10, s=1000, d=0.2)",PC(pearsonr),3,0.18598484992980957,5.0,0.8571428571428571,0.6666666666666666,0.75
"LinearGaussian(n=10, s=1000, d=0.2)",GES(bic),3,1.2932283878326416,0.0,1.0,1.0,1.0
"LinearGaussian(n=10, s=1000, d=0.2)",PC(pearsonr),4,0.20174646377563477,9.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
"LinearGaussian(n=10, s=1000, d=0.2)",GES(bic),4,1.332019567489624,6.0,0.7777777777777778,0.7777777777777778,0.7777777777777778
"LinearGaussian(n=10, s=1000, d=0.2)",PC(pearsonr),5,0.30380988121032715,7.0,0.8,0.7272727272727273,0.761904761904762
"LinearGaussian(n=10, s=1000, d=0.2)",GES(bic),5,2.2245168685913086,30.0,0.20833333333333334,0.45454545454545453,0.28571428571428575
"LinearGaussian(n=20, s=1000, d=0.2)",PC(pearsonr),1,2.81365704536438,48.0,0.5714285714285714,0.17777777777777778,0.2711864406779661
"LinearGaussian(n=20, s=1000, d=0.2)",GES(bic),1,19.589386701583862,106.0,0.25,0.4888888888888889,0.3308270676691729
"LinearGaussian(n=20, s=1000, d=0.2)",PC(pearsonr),2,2.0513811111450195,35.0,0.6875,0.2972972972972973,0.41509433962264153
"LinearGaussian(n=20, s=1000, d=0.2)",GES(bic),2,16.57813000679016,118.0,0.16304347826086957,0.40540540540540543,0.23255813953488372
"LinearGaussian(n=20, s=1000, d=0.2)",PC(pearsonr),3,2.904006004333496,43.0,0.47368421052631576,0.25,0.32727272727272727
"LinearGaussian(n=20, s=1000, d=0.2)",GES(bic),3,12.211418151855469,43.0,0.4915254237288136,0.8055555555555556,0.6105263157894737
"LinearGaussian(n=20, s=1000, d=0.2)",PC(pearsonr),4,3.2935900688171387,39.0,0.6363636363636364,0.1794871794871795,0.28
"LinearGaussian(n=20, s=1000, d=0.2)",GES(bic),4,18.238909482955933,99.0,0.24731182795698925,0.5897435897435898,0.3484848484848485
"LinearGaussian(n=20, s=1000, d=0.2)",PC(pearsonr),5,3.3134055137634277,57.0,0.5,0.1346153846153846,0.21212121212121213
"LinearGaussian(n=20, s=1000, d=0.2)",GES(bic),5,22.92570424079895,109.0,0.30701754385964913,0.6730769230769231,0.4216867469879518
"LinearGaussian(n=30, s=1000, d=0.2)",PC(pearsonr),1,8.84846305847168,105.0,0.5,0.10101010101010101,0.16806722689075632
"LinearGaussian(n=30, s=1000, d=0.2)",GES(bic),1,98.27172470092773,332.0,0.13385826771653545,0.3434343434343434,0.1926345609065156
"LinearGaussian(n=30, s=1000, d=0.2)",PC(pearsonr),2,8.57201623916626,105.0,0.3157894736842105,0.06593406593406594,0.1090909090909091
"LinearGaussian(n=30, s=1000, d=0.2)",GES(bic),2,81.87040138244629,261.0,0.17889908256880735,0.42857142857142855,0.2524271844660194
"LinearGaussian(n=30, s=1000, d=0.2)",PC(pearsonr),3,9.293510437011719,101.0,0.36363636363636365,0.0963855421686747,0.15238095238095242
"LinearGaussian(n=30, s=1000, d=0.2)",GES(bic),3,70.88867712020874,251.0,0.17073170731707318,0.42168674698795183,0.24305555555555555
"LinearGaussian(n=30, s=1000, d=0.2)",PC(pearsonr),4,6.575308322906494,73.0,0.8,0.1951219512195122,0.3137254901960785
"LinearGaussian(n=30, s=1000, d=0.2)",GES(bic),4,87.6668803691864,275.0,0.16017316017316016,0.45121951219512196,0.23642172523961663
"LinearGaussian(n=30, s=1000, d=0.2)",PC(pearsonr),5,10.94443154335022,130.0,0.36363636363636365,0.06956521739130435,0.11678832116788321
"LinearGaussian(n=30, s=1000, d=0.2)",GES(bic),5,103.05936765670776,341.0,0.14285714285714285,0.3130434782608696,0.19618528610354224
